Genus,Species,Synonyms,ncbi_taxid,taxid_matching_level,type_strain,medium_name,medium_link,strain_history,gram,length,width,motility,oxygen_tolerance,spore,aggregation_score,GC_content,antibiotic_resistance_chebi,antibiotic_resistance_metabolite
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,yes,MRS MEDIUM (DSMZ Medium 11),NA,NRIC 1776 <-- NCFB 1837 <-- A. C. Hayward B2399.,NA,NA,NA,NA,NA,NA,NA,39.8,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,MRS MEDIUM (DSMZ Medium 11),NA,"NRIC 1772 <-- DSM 20188 (<I>Leuconostoc</I> sp.) <-- W. Holzapfel (""<I>L. mesenteroides</I> subsp. <I>amelibiosum</I>"") <-- ATCC 13146 <-- NRRL B-742.",NA,NA,NA,NA,anaerobe,NA,NA,41.6,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,MRS MEDIUM (DSMZ Medium 11),NA,NA,NA,NA,NA,NA,microaerophile,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,MEDIUM 40- for Lactobacillus and Leuconostoc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,"MEDIUM 41- for Lactobacillus, Leuconostoc, Weissella, Pediococcus, Sporolactobacillus inulinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,MEDIUM 40- for Lactobacillus and Leuconostoc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,microaerophile,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuconostoc,Leuconostoc citreum,Leuconostoc amelibiosum,33964,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,NA,NA
Bacillus,Bacillus inaquosorum,Bacillus subtilis subsp. inaquosorum,483913,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus inaquosorum,Bacillus subtilis subsp. inaquosorum,483913,species,yes,NUTRIENT AGAR (DSMZ Medium 1),NA,"<- AP Rooney, NRRL <- F Cohan, Wesleyan Univ., USA",positive,NA,NA,NA,facultative anaerobe,NA,NA,NA,NA,NA
Bacillus,Bacillus velezensis,Bacillus methylotrophicus,492670,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
