species,ID,title,abstract,authors,date,category,doi,version,author_corresponding,author_corresponding_institution,link_page,link_pdf,license,published
Bacillus velezensis,113613,Exploration of endo-xylanase from novel strain of Bacillus velezensis AG20 isolated from the cave of Meghalaya,"Cave sets the example of extreme ecological niche and habitat for diversified microorganisms. Present study involved in the isolation of endoxylanase producing novel strain Bacillus velezensis AG20 from the Krem Phyllut cave, Meghalaya, India. Culture dependent studies, molecular phylogentics, RNA secondary folding pattern based on 16S rDNA substantiated the identity of this novel strain. Bacillus velezensis AG20 revealed the superbug quality having resistance against various class of broad-spectrum antibiotics. Bacillus velezensis AG20 revealed biofilm formation over the cell surface in FESEM. Highest cell biomass and xylanase production supported in TB medium, further purified partially to 5.3 fold with 21% yield. Molecular weight of the purified xylanase found to be 45 kDa. Enzyme kinetics and pattern of hydrolysis revealed the evidence for the selection of linear birchwood xylan with Vmax = 21.0 {+/-} 3.0 U/ml, Km = 1.25 mg/ml, Kcat = 1.75/s at optimum pH 7 and temperature 50{degrees}C also found significant statistically in Taguchis orthogonal design. Conversely, ruled out any exoacting activity against synthetic pNP-xylopyranoside substrate. Endo-xylanase isolated from Bacillus velezensis AG20 was moderately thermostable over temperatures 50 and 60{degrees}C. Time dependent hydrolysis of agro-waste sugar cane bagasse depicted the production of xylooligosaccharides (XOS) predominantly xylobiose, xylotriose and xylotetrose. Purified mixed XOS hold their prebiotic potential by promoting the growth of probiotics Bifidobacterium and Lactobacillus as well as high stability (~90%) against systemic fluids. Mixed XOS (300 g/ml) displayed anti-proliferation activities by reducing the growth of HT-29 and Caco-2 cells significantly 90% and 75%, respectively, after 48 h.

IMPORTANCEExtremophiles dwelling inside the caves have laden with the extraordinary capabilities of bioconversion by nature. The pristine ecological niche inside the cave, absence of proper light and air, supports the livelihood of novel microorganisms. In India, Meghalaya is hoisting longest caves in the East Khasi Hills, providing conducive environment for novel bacterial strains. With the prime objective of isolating novel bacterial strains that produce extracellular xylanase our studies have been carried out. Considering the present industrial demand for nutraceutical, prebiotics, anti-proliferating agents and biofuels by the conversion of lignocellulosic biomass (LCB), novel enzymes are required. Xylanases from bacterial origin play a significant role in conversion of LCB into oligosaccharides. Therefore, exploration and characterization of xylanase producing novel isolate from cave may pave the new arena for the production of prebiotic and anti-inflammatory oligosaccharides from agro-waste.","Ghosh, A.; Mahanta, S.; Banerjee, S.; Baishya, D.",2020-04-07,Microbiology,10.1101/2020.04.06.028878,1,Debabrat  Baishya,Gauhati University,https://www.biorxiv.org/content/10.1101/2020.04.06.028878v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2020.04.06.028878v1.full.pdf,cc_no,NA
Bacillus velezensis,162061,Surfactin stimulated by pectin molecular patterns and root exudates acts as a key driver of Bacillus-plant mutualistic interaction,"Bacillus velezensis is considered as model species belonging to the so-called B. subtilis complex that typically evolved to dwell in the soil rhizosphere niche and establish intimate association with plant roots. This bacterium provides protection to its natural host against diseases and represents one of the most promising biocontrol agents. However, the molecular basis of the cross-talk that this bacterium establishes with its natural host has been poorly investigated. We show here that these plant-associated bacteria have evolved some polymer-sensing system to perceive their host and that in response, they increase the production of the surfactin-type lipopeptide. Furthermore, we demonstrate that surfactin synthesis is favoured upon growth on root exudates and that this lipopeptide is a key component used by the bacterium to optimize biofilm formation, motility and early root colonization. In this specific nutritional context, the bacterium also modulates qualitatively the pattern of surfactin homologues co-produced in planta and mainly forms variants that are the most active at triggering plant immunity. Surfactin represents a shared good as it reinforces the defensive capacity of the host.

ImportanceWithin the plant-associated microbiome, some bacterial species are of particular interest due to the disease protective effect they provide via direct pathogen suppression and/or stimulation of host immunity. While these biocontrol mechanisms are quite well characterized, we still poorly understand the molecular basis of the cross talk these beneficial bacteria initiate with their host. Here we show that the model species Bacillus velezensis stimulates production of the surfactin lipopeptide upon sensing pectin as cell surface molecular pattern and upon feeding on root exudates. Surfactin favors bacterial rhizosphere fitness on one hand and primes the plant immune system on the other hand. Our data therefore illustrate how both partners use this multifunctional compound as unique shared good to sustain mutualistic interaction.","Hoff, G.; Arguelles Arias, A.; Boubsi, F.; Prsic, J.; Meyer, T.; Ibrahim, H. M. M.; Steels, S.; Luzuriaga, P.; Legras, A.; Franzil, L.; Lequart, M.; Rayon, C.; Osorio, V.; De Pauw, E.; Lara, Y.; Deboever, E.; De Coninck, B.; Jacques, P.; Deleu, M.; Petit, E.; Van Wuytswinkel, O.; Ongena, M.",2021-06-11,Microbiology,10.1101/2021.02.22.432335,4,Grégory  Hoff,Microbial Processes and Interactions,https://www.biorxiv.org/content/10.1101/2021.02.22.432335v4?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.02.22.432335v4.full.pdf,cc_by_nc_nd,10.1128/mBio.01774-21
Bacillus velezensis,176855,Bacillus velezensis stimulates resident rhizosphere Pseudomonas stutzeri for plant health through metabolic interactions,"Trophic interactions play a central role in driving microbial community assembly and function. In gut or soil ecosystems, successful inoculants are always facilitated by efficient colonization, however, the metabolite exchanges between inoculants and resident bacteria are rarely studied, particularly in the rhizosphere. Here, we used bioinformatic, genetic, transcriptomic and metabonomic analyses to uncover syntrophic cooperation between inoculant (Bacillus velezensis SQR9) and plant-beneficial indigenous Pseudomonas stutzeri in the cucumber rhizosphere. We found that the synergistic interaction of these two species is highly environmental dependent, the emergence of syntrophic cooperation was only evident in a static nutrient-rich niche, such as pellicle biofilm in addition to the rhizosphere. Our results identified branched-chain amino acids (BCAAs) biosynthesis pathway involved in syntrophic cooperation when forming coculture biofilms. Assaying the metabolome further demonstrated metabolic facilitation among the bacterial strains. In addition, biofilm matrix components from Bacillus were essential for the interaction. Importantly, the two-species consortium promoted plant growth and helped plants alleviate salt stress. In summary, we propose a mechanism in which synergic interactions between a biocontrol bacterium and a partner species promote plant health.","Sun, X.; Xu, Z.; Xie, J.; Thomsen, V. H.; Tan, T.; Strube, M. L.; Dragos, A.; Shen, Q.; Zhang, R.; Kovacs, A. T.",2021-06-02,Microbiology,10.1101/2021.06.02.446779,1,Zhihui  Xu,Nanjing Agricultural University,https://www.biorxiv.org/content/10.1101/2021.06.02.446779v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.06.02.446779v1.full.pdf,cc_by_nc_nd,10.1038/s41396-021-01125-3
Bacillus velezensis,184728,The beneficial rhizobacterium Bacillus velezensis acquires iron from roots via a type VII secretion system for colonization,"Niche colonization is the key for bacterial adaptation to the environment, and competition for iron largely determines root colonization by rhizosphere microbes. Pathogenic and beneficial symbiotic bacteria use various unique secretion systems to support plant colonization or acquire limited resources from the environment. However, ubiquitous nonsymbiotic beneficial rhizobacteria have never been reported to use a unique secretion system to facilitate colonization. Here, we show that the type VII secretion system (T7SS) of the beneficial rhizobacterium Bacillus velezensis SQR9 contributes to root colonization. Knocking out T7SS and the major secreted protein YukE in SQR9 caused a significant decrease in root colonization. Moreover, the T7SS and YukE caused iron loss in plant roots in the early stage after inoculation, which contributed to root colonization by SQR9. Interestingly, purified YukE, but not inactivated YukE, could change the permeability of root cells. We speculated that secreted YukE might be directly inserted into the root cell membrane to cause iron leakage, indicating that the bacterial protein and root cell membrane interact directly. Moreover, a bacterial siderophore and the T7SS may be coordinately involved in iron acquisition by B. velezensis SQR9 for efficient root colonization. We showed that the beneficial rhizobacterium B. velezensis SQR9 could acquire iron from roots via the T7SS for rapid colonization. These findings provide the first insight into the function of the unique secretion system in nonsymbiotic beneficial rhizobacteria and reveal a novel mutualism in which plants and bacteria might share iron in a sequential manner.","Liu, Y.; Shu, X.; Chen, L.; Zhang, H.; Feng, H.; Sun, X.; Xiong, Q.; Li, G.; Xun, W.; Xu, Z.; Zhang, N.; Pieterse, C. M. J.; Shen, Q.; Zhang, R.",2021-08-02,Microbiology,10.1101/2021.08.01.454677,1,Yunpeng  Liu,"Institute of agricultural resources and regional planing, Chinese academy of agricultural sciences",https://www.biorxiv.org/content/10.1101/2021.08.01.454677v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.08.01.454677v1.full.pdf,cc_no,NA
Bacillus velezensis,192958,A unique genomic island-governed cannibalism in Bacillus enhanced biofilm formation through a novel regulation mechanism,"Cannibalism is a differentiation strategy and social multicellular behavior in biofilms. The novel factors and mechanisms to trigger the bacterial cannibalism remain scarce. Here, we report a novel bacillunoic acids-mediated strategy for manipulating cannibalism in Bacillus velezensis SQR9 biofilm formation. A subfraction of cells differentiate into cannibals that secrete toxic bacillunoic acids to lyse a fraction of their sensitive siblings, and the released nutrients enhance biofilm formation. Meanwhile, the self-immunity of cannibal cells was induced by bacillunoic acids. A two-component system, the OmpS-OmpR signal-transduction pathway, controls the expression of the ABC transporter BnaAB for self-immunity. Specifically, bacillunoic acids activate the autophosphorylation of OmpS, a transmembrane histidine kinase, which then transfers a phosphoryl group to its response regulator OmpR. The phosphorylation of OmpR activates the transcription of the transporter gene bnaAB by binding its promoter. Thus, bacillunoic acids are pumped out of cells by the ABC transporter BnaAB. Moreover, we discovered that strain SQR9 could use the bacillunoic acids-mediated cannibalism to optimize its community to produce more bacillunoic acids for bacterial competition. This study revealed that bacillunoic acids play a previously undiscovered dual role in both cannibalism during biofilm formation and interspecies competition, which has an important biological significance.","Huang, R.; Li, Q.; Wang, D.; Feng, H.; Zhang, N.; Shao, J.; Shen, Q.; Xu, Z.; Zhang, R.",2021-10-04,Microbiology,10.1101/2021.10.04.462985,1,Ruifu  Zhang,Nanjing Agricultural University,https://www.biorxiv.org/content/10.1101/2021.10.04.462985v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.10.04.462985v1.full.pdf,cc_by,NA
Bacillus velezensis,194342,Annulment of antagonism shifts properties that are beneficial to plants in two-member consortia of Bacillus velezensis,"Bacillus spp. strains that are beneficial to plants are widely used in commercial biofertilizers and biocontrol agents for sustainable agriculture. Generally, functional Bacillus strains are applied as single strain communities since the principles of synthetic microbial consortia constructed with Bacillus strains remain largely unclear. Here, we demonstrated that the mutual compatibility directly affects the survival and function of two-member consortia composed of B. velezensis SQR9 and FZB42 in the rhizosphere. A mutation in the global regulator Spo0A of SQR9 markedly reduced the boundary phenotype with wild-type FZB42, and the combined use of the SQR9{triangleup}spo0A mutant and FZB42 improved biofilm formation, root colonization and the production of secondary metabolites that are beneficial to plants. We further confirmed the correlation between the swarm discrimination phenotype between the two consortia members and the effects that are beneficial to plants in a greenhouse experiment. Our results provide evidence that social interactions among bacteria could be an influencing factor in achieving a desired community-level function.

IMPORTANCEBacillus velezensis is one of the most widely applied bacteria in biofertilizers in China and Europe. Additionally, the molecular mechanisms of plant growth promotion and disease suppression by representative model strains are well established, such as B. velezensis SQR9 and FZB42. However, it remains extremely challenging to design efficient consortia based on these model strains. Here, we showed that swarm discrimination phenotype is one of the major determinants affects the performance of two-member Bacillus consortia in vitro and in the rhizosphere. Deletion in global regulatory gene spo0A of SQR9 reduced the strength of boundary formation with FZB42, result in the improved plant growth promotion performance of dual consortium. This knowledge provides new insights into efficient probiotics consortia design in Bacillus.","Shao, J.; Liu, Y.; Xie, J.; Stefanic, P.; Lv, Y.; Fan, B.; Mandic-Mulec, I.; Zhang, R.; Xu, Z.; Shen, Q.",2021-10-15,Microbiology,10.1101/2021.10.13.464333,1,Zhihui  Xu,Nanjing Agricultural University,https://www.biorxiv.org/content/10.1101/2021.10.13.464333v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.10.13.464333v1.full.pdf,cc_no,NA
Bacillus velezensis,196567,Quorum sensing signal autoinducer-2 inhibits sporulation of Bacillus by interacting with RapC and functions across species,"Collective behavior of bacteria is regulated by quorum sensing (QS). Bacterial cells sense the density of the population and induce corresponding traits and developmental processes. Autoinducer-2 (AI-2) is a common QS signal that regulates behavior of both Gram-positive and Gram-negative bacteria. In spite of the plethora of processes described to be influenced by AI-2 in diverse Gram-negative bacteria, the AI-2-regulated processes in Bacilli are relatively unexplored. Previously, we demonstrated that AI-2 regulates root colonization of Bacillus velezensis SQR9, a well-studied plant beneficial rhizobacterium. Here, we describe a novel function for AI-2 in B. velezensis SQR9 related to development of dormant spores. AI-2 inhibited the initiation of spore development throught the phosphatase RapC and the DNA binding regulator ComA. Using mutant strains and protein-protein interaction studies, we demonstrate that AI-2 interacts with RapC to stimulate its binding to ComA and therefore inactive ComA. We further demonstrate that ComA is essential for Spo0A-regulated sporulation in B. velezensis SQR9. Finally, the AI-2 molecule could be shared cross species for inhibiting Bacillus sporulation. Our study revealed a novel function and regulation mechanism of AI-2 in sporulation inhibition of Bacilli that overall suggests sporulation to be a population-level decision process in Bacilli rather than just a individual cell behavior.

Author summaryQuorum sensing (QS) regulates many bacterial social behavior. Bacteria cells could moniter and respond cell density by sensing the self produced QS signals. While most QS signals are unique for either Gram-positive or Gram-negative bacteria, autoinducer-2 (AI-2) is a QS signal that could produced by both bacteria groups. However, knowledge of the mechanism of AI-2 affecting bacterial behavior is poorly understood. Here, we found AI-2 inhibite Bacillus velezensis SQR9 sporulation, a generally known bacterial individual behavior. We further revealed the mechanism of AI-2 influencing sporulation of B. velezensis SQR9 was dependent on RapC and ComA. AI-2 interacts with RapC to stimulate its binding to ComA and therefore inactive ComA, and then inhibited the Spo0A-regulated sporulation. Interestingly, we show B. velezensis SQR9 could also sense the AI-2 produced by other bacteria and reduce their own sporulation. Taken together we discovered the novel function of AI-2 in sporulation, which will expand the significance of QS signal that they regulate not only social behavior but also individual behavior of bacteria.","Xiong, Q.; Zhang, H.; Shu, X.; Sun, X.; Feng, H.; Xu, Z.; Kovacs, A. T.; Zhang, R.; Liu, Y.",2021-11-02,Microbiology,10.1101/2021.11.02.466875,1,Yunpeng  Liu,Chinese Academy of Agricultural Sciences Institute of Agricultural Resources and Regional Planning,https://www.biorxiv.org/content/10.1101/2021.11.02.466875v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2021.11.02.466875v1.full.pdf,cc_by,NA
Bacillus velezensis,219962,A toxin-mediated policing system in Bacillus improves population fitness via penalizing non-cooperating phenotypic cheaters,"Microbial cooperation is vulnerable to exploitation by social cheaters. Although the strategies for controlling genotypic cheaters have been well investigated, the mechanism and significance of preventing phenotypic cheating remain largely unknown. Here, we revealed the molecular mechanism and ecological significance of a policing system for punishing phenotypic cheaters in the community of a plant beneficial strain Bacillus velezensis SQR9. Coordinated activation of extracellular matrix (ECM) production and autotoxin bacillunoic acids (BAs) biosynthesis/self-immunity, punished public goods-nonproducing cheaters in strain SQR9s community. Spo0A was identified to be the co-regulator for triggering both ECM production and BAs synthesis/immunity, which activates acetyl-CoA carboxylase (ACC) to produce malonyl-CoA, an essential precursor for BAs biosynthesis, thereby stimulating BAs production and self-immunity. Elimination of phenotypic cheaters by this policing system, significantly enhanced population fitness under different stress conditions and in plant rhizosphere. This study provides insights into our understanding of maintenance and evolution of microbial cooperation.","Huang, R.; Shao, J.; Xu, Z.; Chen, Y.; Liu, Y.; Wang, D.; Feng, H.; Xun, W.; Shen, Q.; Zhang, N.; Zhang, R.",2022-05-14,Microbiology,10.1101/2022.05.14.491907,1,Nan  Zhang,Nanjing Agricultural University - Weigang Campus: Nanjing Agricultural University,https://www.biorxiv.org/content/10.1101/2022.05.14.491907v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/2022.05.14.491907v1.full.pdf,cc_by_nc_nd,NA
Bacillus velezensis,37653,Inhibitory Effect of Bacillus velezensis on Biofilm Formation by Streptococcus mutans,"Streptococcus mutans plays a key role in the development of dental caries and promotes the formation of oral biofilm produced by glucosyltransferases (GTFs). Bacillus velezensis K68 was isolated from traditional fermented foods and inhibits biofilm formation mediated by S. mutans. Gene amplification results demonstrated that B. velezensis K68 contained genes for the biosynthesis of 1-deoxynojirimycin (1-DNJ), a known GTF expression inhibitor. The presence of the GabT1, Yktc1, and GutB1 genes required for 1-DNJ synthesis in B. velezensis K68 was confirmed. Supernatant from B. velezensis K68 culture medium inhibited biofilm formation by 84% when S. mutans was cultured for 48 h, and inhibited it maximally when 1% glucose was added to the S. mutans culture medium as a GTF substrate. In addition, supernatant from B. velezensis K68 medium containing 3 ppb 1- DNJ decreased S. mutans cell surface hydrophobicity by 79.0 {+/-} 0.8% compared with that of untreated control. The supernatant containing 1-DNJ decreased S. mutans adherence by 99.97% and 98.83% under sugar-dependent and sugar-independent conditions, respectively. S. mutans treated with the supernatant exhibited significantly reduced expression of the essential GTF genes gtfB, gtfC, and gtfD compared to that in the untreated group. Thus, B. velezensis inhibits the biofilm formation, adhesion, and GTF gene expression of S. mutans through 1- DNJ production.\n\nIMPORTANCEDental caries is among the most common infectious diseases worldwide, and its development is closely associated with physiological factors of bacteria, such as the biofilm formation and glucosyltransferase production of Streptococcus mutans. Biofilms are difficult to remove once they have formed due to the exopolysaccharide matrix produced by the microorganisms residing in them; thus, inhibiting biofilm formation is a current focal point of research into prevention of dental caries. This study describes the inhibitory properties of Bacillus velezensis K68, an organism isolated from traditional Korean fermented foods, against biofilm formation by S. mutans. Herein, we show that B. velezensis inhibits the biofilm formation, adherence to surfaces, and glucosyltransferase production of S. mutans.","Yoo, Y.; Seo, D.-H.; Lee, H.; Nam, Y.-D.; Seo, M.-J.",2018-05-04,Microbiology,10.1101/313965,1,Myung-Ji  Seo,Incheon National University,https://www.biorxiv.org/content/10.1101/313965v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/313965v1.full.pdf,cc_no,10.1016/j.jbiotec.2019.04.009
Bacillus velezensis,55203,Plant Growth-Promoting Activity of Beta-Propeller Protein YxaL Secreted from Bacillus velezensis Strain GH1-13,"YxaL is conserved within Bacillus subtilis species complex associated with plant and soil. The mature protein YxaL contains a repeated beta-propeller domain, but the subcellular location and function of YxaL has not been determined. The gene encoding the mature YxaL protein was PCR amplified from genomic DNA of B. velezensis strain GH1-13 and used for recombinant protein production. A rabbit polyclonal antibody against the purified YxaL was generated and used for western blotting to determine the constitutive expression and secretion of YxaL, which exhibited a half-life of 1.6 h in the culture medium of strain GH1-13. In this study, we show that seed treatments of Arabidopsis thaliana and rice (Oryza sativa L) with less than 1 mg L-1 of purified YxaL in a soaking solution were effective at improving the root growth of plants. The seedlings of the treated Arabidopsis seeds markedly increased transcription of a 1-aminocyclopropane-1-carboxylate synthetase marker gene (ACS 11) but reduced expression of auxin-and abscisic acid-responsive marker genes (IAA1, GH3.3, and ABF4), especially when provided exogenous auxin. The horticulture experiments showed that pepper (Capsicum annum) seeds treated with 1 mg L-1 YxaL in soaking solution increased shoot growth and improved tolerance to drought stress. We hypothesize that YxaL secreted from plant growth-promoting Bacillus cells has a significant impact on plant roots, with the potential of improving plant growth and tolerance against stress.","Kim, Y.-H.; Choi, Y.; Oh, Y. Y.; Ha, N.-C.; Song, J.",2018-11-16,Microbiology,10.1101/471185,1,Jaekyeong  Song,National Institute of Agricultural Sciences,https://www.biorxiv.org/content/10.1101/471185v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/471185v1.full.pdf,cc_no,10.1371/journal.pone.0207968
