MAGID	SampleID	Median_coverage
TEST0001_MAG01	S00EI-0018-S18-001	0
TEST0001_MAG02	S00EI-0018-S18-001	10.92
TEST0001_MAG03	S00EI-0018-S18-001	0
TEST0001_MAG04	S00EI-0018-S18-001	0
TEST0001_MAG05	S00EI-0018-S18-001	0
TEST0001_MAG06	S00EI-0018-S18-001	0
TEST0001_MAG07	S00EI-0018-S18-001	0
TEST0001_MAG08	S00EI-0018-S18-001	0
TEST0001_MAG09	S00EI-0018-S18-001	4.24
TEST0001_MAG10	S00EI-0018-S18-001	0
TEST0001_MAG11	S00EI-0018-S18-001	15.25
TEST0001_MAG12	S00EI-0018-S18-001	0
TEST0001_MAG13	S00EI-0018-S18-001	0
TEST0001_MAG14	S00EI-0018-S18-001	0
TEST0001_MAG15	S00EI-0018-S18-001	11.14
TEST0001_MAG16	S00EI-0018-S18-001	0.81
TEST0001_MAG17	S00EI-0018-S18-001	0
TEST0001_MAG18	S00EI-0018-S18-001	0
TEST0001_MAG19	S00EI-0018-S18-001	0
TEST0001_MAG20	S00EI-0018-S18-001	15.93
TEST0001_MAG21	S00EI-0018-S18-001	0
TEST0001_MAG22	S00EI-0018-S18-001	0
TEST0001_MAG23	S00EI-0018-S18-001	0
TEST0001_MAG24	S00EI-0018-S18-001	0
TEST0001_MAG25	S00EI-0018-S18-001	38.88
TEST0001_MAG26	S00EI-0018-S18-001	0
TEST0001_MAG27	S00EI-0018-S18-001	0
TEST0001_MAG28	S00EI-0018-S18-001	0
TEST0001_MAG29	S00EI-0018-S18-001	0
TEST0001_MAG30	S00EI-0018-S18-001	0
TEST0001_MAG01	S00EI-0025-S26-001	41.7
TEST0001_MAG02	S00EI-0025-S26-001	0.3
TEST0001_MAG03	S00EI-0025-S26-001	5.47
TEST0001_MAG04	S00EI-0025-S26-001	57.06
TEST0001_MAG05	S00EI-0025-S26-001	0
TEST0001_MAG06	S00EI-0025-S26-001	0
TEST0001_MAG07	S00EI-0025-S26-001	98.355
TEST0001_MAG08	S00EI-0025-S26-001	6.76
TEST0001_MAG09	S00EI-0025-S26-001	0
TEST0001_MAG10	S00EI-0025-S26-001	83.33
TEST0001_MAG11	S00EI-0025-S26-001	0
TEST0001_MAG12	S00EI-0025-S26-001	82.315
TEST0001_MAG13	S00EI-0025-S26-001	9.5
TEST0001_MAG14	S00EI-0025-S26-001	19.58
TEST0001_MAG15	S00EI-0025-S26-001	0
TEST0001_MAG16	S00EI-0025-S26-001	0
TEST0001_MAG17	S00EI-0025-S26-001	23.2
TEST0001_MAG18	S00EI-0025-S26-001	13.58
TEST0001_MAG19	S00EI-0025-S26-001	38.49
TEST0001_MAG20	S00EI-0025-S26-001	0
TEST0001_MAG21	S00EI-0025-S26-001	0
TEST0001_MAG22	S00EI-0025-S26-001	29.13
TEST0001_MAG23	S00EI-0025-S26-001	13.45
TEST0001_MAG24	S00EI-0025-S26-001	36.585
TEST0001_MAG25	S00EI-0025-S26-001	0
TEST0001_MAG26	S00EI-0025-S26-001	12.7
TEST0001_MAG27	S00EI-0025-S26-001	0
TEST0001_MAG28	S00EI-0025-S26-001	16.35
TEST0001_MAG29	S00EI-0025-S26-001	800.35
TEST0001_MAG30	S00EI-0025-S26-001	44.37
TEST0001_MAG01	S00EI-0015-S15-001	0
TEST0001_MAG02	S00EI-0015-S15-001	0
TEST0001_MAG03	S00EI-0015-S15-001	0
TEST0001_MAG04	S00EI-0015-S15-001	0
TEST0001_MAG05	S00EI-0015-S15-001	0
TEST0001_MAG06	S00EI-0015-S15-001	0
TEST0001_MAG07	S00EI-0015-S15-001	0
TEST0001_MAG08	S00EI-0015-S15-001	0
TEST0001_MAG09	S00EI-0015-S15-001	4.16
TEST0001_MAG10	S00EI-0015-S15-001	0
TEST0001_MAG11	S00EI-0015-S15-001	9.745
TEST0001_MAG12	S00EI-0015-S15-001	0
TEST0001_MAG13	S00EI-0015-S15-001	0
TEST0001_MAG14	S00EI-0015-S15-001	0
TEST0001_MAG15	S00EI-0015-S15-001	4.18
TEST0001_MAG16	S00EI-0015-S15-001	0.61
TEST0001_MAG17	S00EI-0015-S15-001	0
