patent_number	patent_title	patent_abstract
10072305	Real-time PCR for the detection of pathogens	Disclosed herein are methods for detecting presence of one or more of Acinetobacter baumannii, Pseudomonas aeruginosa, Klebsiella pneumoniae, Toxoplasma gondii, Moraxella catarrhalis, Escherichia coli, Shigella, Staphylococcus aureus, Pneumocystis jirovecii, Chlamydia trachomatis, Ureaplasma urealyticum, Ureaplasma parvum, Ureaplasma spp., Bartonella spp., Streptococcus agalactiae, and Neisseria meningitidis nucleic acids in a sample, such as a biological sample obtained from a subject, or an environmental sample. This disclosure also provides probes, primers, and kits for detecting one or more of Acinetobacter baumannii, Pseudomonas aeruginosa, Klebsiella pneumoniae, Toxoplasma gondii, Moraxella catarrhalis, Escherichia coli, Shigella, Staphylococcus aureus, Pneumocystis jirovecii, Chlamydia trachomatis, Ureaplasma urealyticum, Ureaplasma parvum, Ureaplasma spp., Bartonella spp., Streptococcus agalactiae, and Neisseria meningitidis in a sample.
10077431	Phage therapy of pseudomonas infections	The present invention relates to bacteriophage therapy. More particularly, the present invention relates to novel bacteriophages having a high specificity against Pseudomonas aeruginosa strains, their manufacture, components thereof, compositions comprising the same and the uses thereof in phage therapy.
10105380	Glycoclusters and their pharmaceutical use as antibacterials	A molecule responding to formula (I) of the glycocluster type with galactose residues at their extremities. Simple and efficient methods for the preparation of these compounds. Medical use of compounds (I) as inhibitors of infections by Pseudomonas aeruginosa, more specifically as inhibitors of Pseudomonas aeruginosa's virulence.
10117905	Compositions and methods to prevent cancer with cupredoxins	The present invention relates to compositions comprising peptides that may be variants, derivatives and structural equivalents of cupredoxins that inhibit the development of premalignant lesions in mammalian cells, tissues and animals. Specifically, these compositions may comprise azurin from Pseudomonas aeruginosa, and/or the 50-77 residue region of azurin (p28). The present invention further relates to compositions that may comprise cupredoxin(s), and/or variants, derivatives or structural equivalents of cupredoxins, that retain the ability to inhibit the development of premalignant lesions in mammalian cells, tissues or animals. These compositions may be peptides or pharmaceutical compositions, among others. The compositions of the invention may be used to prevent the development of premalignant lesions in mammalian cells, tissues and animals, and thus prevent cancer.
10159751	ExPEC glycoconjugate vaccine formulations	Compositions and methods for inducing an immune response against extra-intestinal pathogenic Escherichia coli (ExPEC) are described. In particular, multivalent vaccines containing E. coli antigen polysaccharide covalently bound to a exotoxin A of Pseudomonas aeruginosa (EPA) carrier protein that can withstand multiple environmental stresses are described.
10179146	Compositions and methods for mitigating drug resistant bacteria	A broad-based remediation mechanism against MRFs and alternative fecal indicators such as multidrug resistant Pseudomonas aeruginosa, including nanotechnology formulations and methodologies that may be used to develop novel mitigation strategies against certain drug resistant bacterial strains. The current invention relates to mitigation of drug resistant bacteria from nosocomial infections, for example in hospitals and in food animals, and to the identification and mitigation of lytic bacteria from algae biomass-fed wastewaters for algae cultivation. The invention uses hybrid nanomaterials comprising oligo-chitosan and zinc oxide formulated as nanoparticles and micelles. The inventors unexpectedly found unique properties of very small oligomers of chitosan that effectively mitigate MRF and alternative resistant strain-induced illnesses without compromising the balance of the beneficial flora in the physiological and ecological microenvironments. Also, the combination of chitosan with zinc oxide demonstrated synergistic and unexpected effects in remediation of important food-borne bacteria including the resistant types.
10221222	Dermaseptin-type and piscidin-type antimicrobial peptides	Antimicrobial agents, including antimicrobial peptides (AMPs) and uses thereof. Compositions and methods of using dermaseptin-type and piscidin-type antimicrobial peptides that demonstrate activity and improved therapeutic indices against microbial pathogens. The peptide compositions demonstrate the ability to not only maintain or improve antimicrobial activity against bacterial pathogens including Gram-negative microorganisms Acinetobacter baumannii and Pseudomonas aeruginosa, but also significantly decrease hemolytic activity against human red blood cells. Specificity determinants within the AMPS change selectivity from broad spectrum antimicrobial activity to AMPS with gram-negative selectivity.
10238689	Methods for combating bacterial infections by killing persister cells with mitomycin C and/or cisplatin	The present disclosure provides a method for killing persister cells with mitomycin C and/or cisplatin, or derivatives thereof. Recalcitrant infections are difficult to treat due to persister cells, a subpopulation of all bacterial populations that is highly tolerant against all traditional antibiotics since the cells are dormant and antibiotics are designed to kill growing cells. Here, we show that MMC and cisplatin eradicate persister cells through a growth-independent mechanism, cross-linking DNA. We find both agents are effective against both planktonic cultures and highly robust biofilm cultures for a broad range of bacterial species, including commensal Escherichia coli K-12 as well as pathogenic species of E. coli, Staphylococcus aureus, and Pseudomonas aeruginosa. In certain approaches cisplatin is superior to MMC.
10258640	Method of inhibiting quorum sensing in Pseudomonas aeruginosa	A method of inhibiting quorum sensing in Pseudomonas aeruginosa is provided. The method comprises contacting Pseudomonas aeruginosa with a gold(I) thiolate complex in an amount effective to inhibit quorum sensing in the Pseudomonas aeruginosa. Use of the method for the treatment or prevention of damage or disease associated with quorum sensing and/or biofilm formation in a subject, or for the treatment of biofilm and/or for inhibiting biofilm formation is also provided.
10260051	Phage therapy of Pseudomonas infections	The present invention relates to bacteriophage therapy. More particularly, the present invention relates to novel bacteriophages having a high specificity against Pseudomonas aeruginosa strains, their manufacture, components thereof, compositions comprising the same and the uses thereof in phage therapy.
