	MAG01	MAG02	MAG03	MAG04	MAG05	MAG06	MAG07	MAG08	MAG09	MAG10	MAG11	MAG12	MAG13	MAG14	MAG15	MAG16	MAG17	MAG18	MAG19	MAG20	MAG21	MAG22	MAG23	MAG24	MAG25	MAG26	MAG27	MAG28	MAG29	MAG30
S00EI-0018-S18-001	0.0	10.92	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	15.25	0.0	0.0	0.0	11.14	0.81	0.0	0.0	0.0	15.93	0.0	0.0	0.0	0.0	38.88	0.0	0.0	0.0	0.0	0.0
S00EI-0025-S26-001	41.7	0.3	5.47	57.06	0.0	0.0	98.35499999999999	6.76	0.0	83.33	0.0	82.315	9.5	19.58	0.0	0.0	23.2	13.58	38.49	0.0	0.0	29.13	13.45	36.585	0.0	12.7	0.0	16.35	800.35	44.37
S00EI-0015-S15-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16	0.0	9.745000000000001	0.0	0.0	0.0	4.18	0.61	0.0	0.0	0.0	4.53	0.0	0.0	0.0	0.0	19.55	0.0	0.0	0.0	0.0	0.0
S00EI-0014-S14-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	0.0	9.95	0.0	0.0	0.0	6.2	0.6	0.0	0.0	0.0	4.23	0.0	0.0	0.0	0.0	18.65	0.0	0.0	0.0	0.0	0.0
S00EI-0020-S20-001	21.56	0.0	6.2	29.69	0.0	0.0	46.004999999999995	9.29	0.0	68.98	0.0	13.2	3.78	11.75	0.0	0.0	17.54	7.62	11.58	0.0	0.0	13.54	7.54	12.99	0.0	4.63	0.0	8.35	438.84000000000003	32.9
S00EI-0024-S25-001	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	8.47	0.0	0.0	0.0	0.0	225.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.785	0.0	0.0	0.0	0.0	0.0
S00EI-0016-S16-001	0.0	5.03	0.0	0.0	0.0	0.0	0.0	0.0	5.04	0.0	15.495000000000001	0.0	0.0	0.0	15.24	0.6	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	15.59	0.0	0.0	0.0	0.0	0.0
S00EI-0019-S19-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.0	9.48	0.0	0.0	0.0	0.0	160.54500000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.70499999999998	0.0	0.0	0.0	0.0	0.0
S00EI-0026-S27-001	0.0	5.63	0.0	0.0	0.0	0.0	0.0	0.0	27.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84	0.0	0.0	0.0
S00EI-0017-S17-001	0.0	5.25	0.0	0.0	0.0	0.0	0.0	0.0	5.95	0.0	20.9	0.0	0.0	0.0	15.59	0.76	0.0	0.0	0.0	6.59	0.0	0.0	0.0	0.0	22.375	0.0	0.0	0.0	0.0	0.0
S00EI-0028-S29-001	0.0	2.66	0.0	0.0	138.39	0.0	0.0	0.0	0.0	0.0	2.77	0.0	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0
S00EI-0022-S22-001	0.0	0.0	0.0	0.0	0.0	9.58	0.0	0.0	3.6550000000000002	0.0	3.56	0.0	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	9.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S00EI-0021-S21-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.24	0.0	0.0	0.0
S00EI-0027-S28-001	0.0	0.3	0.0	0.0	0.0	8.69	0.0	0.0	4.465	0.0	4.235	0.0	0.0	0.0	0.25	4.99	0.0	0.0	0.0	0.0	12.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S00EI-0013-S13-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	0.0	9.0	0.0	0.0	0.0	3.9	0.52	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.0	17.064999999999998	0.0	0.0	0.0	0.0	0.0
S00EI-0023-S23-001	0.0	0.0	0.0	0.0	159.025	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.0	0.0	0.0
