Sample	S00EI-0018-S18-001	S00EI-0025-S26-001	S00EI-0015-S15-001	S00EI-0014-S14-001	S00EI-0020-S20-001	S00EI-0024-S25-001	S00EI-0016-S16-001	S00EI-0019-S19-001	S00EI-0026-S27-001	S00EI-0017-S17-001	S00EI-0028-S29-001	S00EI-0022-S22-001	S00EI-0021-S21-001	S00EI-0027-S28-001	S00EI-0013-S13-001	S00EI-0023-S23-001
MAG01	60	1080833	105	35	557933	136	27	30	16	46	120	191	18	362	28	32
MAG02	318749	9465	38992	38126	165	51728	148484	5964	142007	159969	66282	1039	10911	10805	36424	195
MAG03	20	214669	23	6	195987	47	4	28	4	4	50	64	18	226	4	4
MAG04	22	2028533	256	28	1040854	190	0	6	6	4	196	92	0	407	0	0
MAG05	1062	1085	299	397	593	283	1370	212	428	785	6948858	2656	22	5564	325	7992765
MAG06	191	58	67	119	34	67	142	43	32	130	29	187771	6	176040	81	45
MAG07	38	2992719	196	62	1392870	321	9	33	34	6	1302	1215	2	2715	4	1264
MAG08	18	152188	16	2	205659	18	4	2	6	2	36	153	0	232	3	4
MAG09	114590	4	106025	105232	20	60529	127341	44389	768734	147873	514	100630	2177231	121804	93653	352
MAG10	828	1417443	476	400	1164001	2267	355	1522	233	505	283	4334	576	4696	386	69
MAG11	529065	820	319068	327571	654	293926	502169	311502	2417	672137	91706	122342	5187	146793	301081	102667
MAG12	3996	1656534	1767	1789	289094	5708	2460	4102	576	2756	5423	5198	1160	11413	1658	5994
MAG13	0	135217	18	0	54818	10	0	0	0	0	30	8	0	19	0	8
MAG14	28	457296	30	4	271705	32	2	0	10	8	163	283	2	609	4	177
MAG15	546569	128	196206	294010	76	96	709944	43	88	721911	12641	13198	10	36017	186670	15014
MAG16	30188	12	22703	21599	66	7412705	22434	5087509	10699	27485	81584	146638	22070	160533	20165	78149
MAG17	140	699386	121	81	524555	154	81	70	30	128	120	434	22	1018	76	4
MAG18	2	306653	14	0	170953	30	0	2	2	2	68	57	0	120	0	0
MAG19	122	978662	57	71	301599	149	33	40	224	49	233	670	46	1356	35	160
MAG20	501559	3091	136252	128014	3169	12	102019	32	735	194585	75	890	6	1999	123853	27
MAG21	162	0	86	110	0	18	142	12	2	132	8	119495	4	149275	88	0
MAG22	105	1119988	168	30	512415	252	37	156	43	47	130	262	33	1249	20	2
MAG23	30	340623	40	6	190476	32	8	2	7	6	64	105	0	240	2	26
MAG24	318	1026954	72	40	364064	562	78	300	134	102	103	143	63	370	32	13
MAG25	1408335	40	661282	639146	180	5719630	532708	4832438	1026	757363	106155	235	283	338	598289	108252
MAG26	59	379704	30	23	140627	66	42	24	10	31	558	754	2	1760	14	641
MAG27	16	48	12	8	28	183	22	118	196861	20	84	26	716636	32	24	6
MAG28	12	436487	52	8	219804	66	4	16	4	4	58	16	12	90	2	0
MAG29	1477	18805117	2323	778	10182111	2993	759	772	186	932	4859	3489	187	13556	492	1607
MAG30	678	904344	319	242	643713	1390	345	949	261	351	261	1224	383	3424	222	44
