Name	Mock_T0_1_S1	Mock_T0_2_S2	Mock_T0_3_S3
GCF_000012905.2_genomic_NC_009008.1_41	0	0	0
GCF_000012905.2_genomic_NC_009008.1_40	1	1	1
GCF_000012905.2_genomic_NC_009008.1_39	0	2	0
GCF_000012905.2_genomic_NC_009008.1_36	4	7	3
GCF_000012905.2_genomic_NC_009008.1_35	1	0	3
GCF_000012905.2_genomic_NC_009008.1_34	0	1	1
GCF_000012905.2_genomic_NC_009008.1_31	2	6	3
GCF_000012905.2_genomic_NC_009008.1_30	1	2	3
GCF_000012905.2_genomic_NC_009008.1_29	6	5	5
GCF_000012905.2_genomic_NC_009008.1_28	8	8	12
GCF_000012905.2_genomic_NC_009008.1_27	1	3	5
GCF_000012905.2_genomic_NC_009008.1_26	41	64	54
GCF_000012905.2_genomic_NC_009008.1_25	5	5	2
GCF_000012905.2_genomic_NC_009008.1_22	6	12	5
GCF_000012905.2_genomic_NC_009008.1_21	26	41	25
GCF_000012905.2_genomic_NC_009008.1_19	1	3	4
GCF_000012905.2_genomic_NC_009008.1_18	3	4	3
GCF_000012905.2_genomic_NC_009008.1_15	8	10	9
GCF_000012905.2_genomic_NC_009008.1_13	8	14	15
GCF_000012905.2_genomic_NC_009008.1_12	1	5	1
GCF_000012905.2_genomic_NC_009008.1_10	0	0	3
GCF_000012905.2_genomic_NC_009008.1_9	4	1	1
GCF_000012905.2_genomic_NC_009008.1_8	1	0	0
GCF_000012905.2_genomic_NC_009008.1_7	0	0	1
GCF_000012905.2_genomic_NC_009008.1_3	9	13	12
GCF_000012905.2_genomic_NC_009008.1_2	39	41	41
GCF_000012905.2_genomic_NC_009008.1_1	72	96	86
GCF_000012905.2_genomic_NC_007490.2_116	0	0	0
GCF_000012905.2_genomic_NC_007490.2_113	0	0	0
GCF_000012905.2_genomic_NC_007490.2_111	9	13	18
GCF_000012905.2_genomic_NC_007490.2_108	101	144	146
GCF_000012905.2_genomic_NC_007490.2_104	14	13	12
GCF_000012905.2_genomic_NC_007490.2_101	3	2	2
GCF_000012905.2_genomic_NC_007490.2_100	1	3	4
GCF_000012905.2_genomic_NC_007490.2_97	1	5	5
GCF_000012905.2_genomic_NC_007490.2_96	1	2	2
GCF_000012905.2_genomic_NC_007490.2_95	2	0	0
GCF_000012905.2_genomic_NC_007490.2_93	2	5	10
GCF_000012905.2_genomic_NC_007490.2_92	5	3	2
GCF_000012905.2_genomic_NC_007490.2_91	2	5	0
GCF_000012905.2_genomic_NC_007490.2_88	2	0	0
GCF_000012905.2_genomic_NC_007490.2_87	1	1	0
GCF_000012905.2_genomic_NC_007490.2_86	19	15	19
GCF_000012905.2_genomic_NC_007490.2_84	0	1	2
GCF_000012905.2_genomic_NC_007490.2_83	3	2	4
GCF_000012905.2_genomic_NC_007490.2_78	6	5	3
GCF_000012905.2_genomic_NC_007490.2_77	7	8	9
GCF_000012905.2_genomic_NC_007490.2_74	2	2	2
GCF_000012905.2_genomic_NC_007490.2_70	13	12	18
GCF_000012905.2_genomic_NC_007490.2_69	45	65	70
GCF_000012905.2_genomic_NC_007490.2_66	1	0	5
GCF_000012905.2_genomic_NC_007490.2_65	2	3	2
GCF_000012905.2_genomic_NC_007490.2_64	16	17	12
GCF_000012905.2_genomic_NC_007490.2_62	12	15	17
GCF_000012905.2_genomic_NC_007490.2_60	25	34	55
GCF_000012905.2_genomic_NC_007490.2_59	27	38	48
GCF_000012905.2_genomic_NC_007490.2_56	125	152	159
GCF_000012905.2_genomic_NC_007490.2_55	184	229	274
GCF_000012905.2_genomic_NC_007490.2_54	0	1	2
GCF_000012905.2_genomic_NC_007490.2_53	14.641	21.185	23
