	fasta	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	heme_regulatory_motif_count
MAG1_MAG1_251_7	MAG1	E													0
MAG1_MAG1_238_2	MAG1	C	K00053	ketol-acid reductoisomerase [EC:1.1.1.86]								Acetohydroxy acid isomeroreductase, NADPH-binding domain [PF07991.15]; Acetohydroxy acid isomeroreductase, catalytic domain [PF01450.22]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.24]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]			0
MAG1_MAG1_238_1	MAG1	C	K01649	2-isopropylmalate synthase [EC:2.3.3.13]								HMGL-like [PF00682.22]; LeuA allosteric (dimerisation) domain [PF08502.13]			0
MAG1_MAG1_237_9	MAG1	C	K00797	spermidine synthase [EC:2.5.1.16]								Spermine/spermidine synthase domain [PF01564.20]; Spermidine synthase tetramerisation domain [PF17284.5]			0
MAG1_MAG1_237_7	MAG1	C	K21464	penicillin-binding protein 2D [EC:2.4.1.129 3.4.16.4]								Transglycosylase [PF00912.25]; Penicillin binding protein transpeptidase domain [PF00905.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	0
MAG1_MAG1_237_3	MAG1	C	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]								Tautomerase enzyme [PF01361.24]			0
MAG1_MAG1_236_6	MAG1	C	K01567	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]								Polysaccharide deacetylase [PF01522.24]	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	0
MAG1_MAG1_236_2	MAG1	C	K22044	moderate conductance mechanosensitive channel								Mechanosensitive ion channel [PF00924.21]			0
MAG1_MAG1_236_10	MAG1	C	K03284	magnesium transporter								CorA-like Mg2+ transporter protein [PF01544.21]			0
MAG1_MAG1_235_8	MAG1	C	K03590	cell division protein FtsA								SHS2 domain inserted in FTSA [PF02491.23]; Cell division protein FtsA [PF14450.9]			0
MAG1_MAG1_235_6	MAG1	C	K03589	cell division protein FtsQ											0
MAG1_MAG1_235_5	MAG1	C	K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]								UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain [PF02873.19]; FAD binding domain [PF01565.26]			0
MAG1_MAG1_235_4	MAG1	C	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]								Glycosyltransferase family 28 N-terminal domain [PF03033.23]; Glycosyltransferase family 28 C-terminal domain [PF04101.19]	GT28	GT28 1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157); UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227); digalactosyldiacylglycerol synthase (EC 2.4.1.241)	0
MAG1_MAG1_235_3	MAG1	C	K03588	cell division protein FtsW								Cell cycle protein [PF01098.22]			0
MAG1_MAG1_235_2	MAG1	C	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]								Mur ligase middle domain [PF08245.15]; Putative NAD(P)-binding [PF13241.9]			0
MAG1_MAG1_234_5	MAG1	C	K01586	diaminopimelate decarboxylase [EC:4.1.1.20]								Pyridoxal-dependent decarboxylase, pyridoxal binding domain [PF02784.19]; Pyridoxal-dependent decarboxylase, C-terminal sheet domain [PF00278.25]			0
MAG1_MAG1_234_4	MAG1	C	K06408	stage V sporulation protein AF								Bacillus/Clostridium GerA spore germination protein [PF03323.16]			0
