Contig	Position	MergedReads-001	S00EI-0013	S00EI-0014	S00EI-0015	sample1-nan	sample2-nan
MAG1_1	1000	53.21	0.0	0.0	0.0	5.45	53.21
MAG1_1	2000	51.27	0.0	0.0	0.0	5.05	51.27
MAG1_1	3000	60.76	0.0	0.0	0.0	5.53	60.34
MAG1_1	4000	62.79	0.0	0.0	0.0	5.79	62.79
MAG1_1	5000	60.84	0.0	0.0	0.0	6.58	60.84
MAG1_1	5560	47.5	0.0	0.0	0.0	3.55	47.5
MAG1_2	1000	50.08	0.0	0.0	0.0	2.6	50.08
MAG1_2	2000	57.42	0.0	0.0	0.0	5.91	57.42
MAG1_2	3000	57.89	0.0	0.0	0.0	5.91	57.89
MAG1_2	4000	75.64	0.0	0.0	0.0	6.28	76.32
MAG1_2	5000	48.74	0.0	0.0	0.0	4.41	48.74
MAG1_2	6000	54.19	0.0	0.0	0.0	4.28	54.19
MAG1_2	7000	54.5	0.0	0.0	0.0	3.91	54.5
MAG1_2	8000	62.06	0.0	0.0	0.0	6.21	62.06
MAG1_2	9000	55.72	0.0	0.0	0.0	6.42	55.72
MAG1_2	10000	59.77	0.0	0.0	0.0	5.42	59.77
MAG1_2	11000	52.59	0.0	0.0	0.0	6.82	52.59
MAG1_2	12000	60.42	0.0	0.0	0.0	6.86	60.42
MAG1_2	13000	55.1	0.0	0.0	0.0	5.7	55.1
MAG1_2	14000	55.24	0.0	0.0	0.0	3.48	55.24
MAG1_2	15000	55.1	0.0	0.0	0.0	5.77	55.1
MAG1_2	16000	52.7	0.0	0.0	0.0	7.06	52.7
MAG1_2	17000	59.22	0.0	0.0	0.0	6.89	59.22
MAG1_2	18000	57.09	0.0	0.0	0.0	5.58	57.09
MAG1_2	19000	52.33	0.0	0.0	0.0	3.38	52.33
MAG1_2	20000	51.07	0.0	0.0	0.0	5.18	51.07
MAG1_2	21000	61.0	0.0	0.0	0.0	6.1	61.0
MAG1_2	22000	51.37	0.0	0.0	0.0	6.05	51.37
MAG1_2	23000	63.39	0.0	0.0	0.0	5.71	63.39
MAG1_2	24000	58.2	0.0	0.0	0.0	7.11	58.2
MAG1_2	25000	54.84	0.0	0.0	0.0	5.26	54.84
MAG1_2	26000	59.1	0.0	0.0	0.0	4.98	59.1
MAG1_2	27000	60.26	0.0	0.0	0.0	5.53	60.26
MAG1_2	28000	55.06	0.0	0.0	0.0	4.0	55.06
MAG1_2	29000	54.95	0.0	0.0	0.0	5.67	54.95
MAG1_2	30000	59.49	0.0	0.0	0.0	7.34	59.49
MAG1_2	31000	57.27	0.0	0.0	0.0	6.77	57.27
MAG1_2	32000	64.93	0.0	0.0	0.0	6.98	64.93
MAG1_2	33000	58.95	0.0	0.0	0.0	5.19	58.95
MAG1_2	34000	60.63	0.0	0.0	0.0	6.88	60.63
MAG1_2	35000	59.03	0.0	0.0	0.0	5.39	59.03
MAG1_2	36000	57.42	0.0	0.0	0.0	7.17	57.42
MAG1_2	37000	59.19	0.0	0.0	0.0	6.05	59.19
MAG1_2	38000	56.32	0.0	0.0	0.0	6.01	56.32
MAG1_2	39000	53.66	0.0	0.0	0.0	5.03	53.66
MAG1_2	40000	46.83	0.0	0.0	0.0	5.7	46.83
MAG1_2	41000	52.96	0.0	0.0	0.0	5.47	52.96
MAG1_2	42000	53.81	0.0	0.0	0.0	6.14	53.81
MAG1_2	43000	52.1	0.0	0.0	0.0	3.61	52.1
MAG1_2	44000	54.16	0.0	0.0	0.0	6.3	54.16
MAG1_2	45000	58.75	0.0	0.0	0.0	6.69	58.75
MAG1_2	46000	53.69	0.0	0.0	0.0	5.14	53.69
MAG1_2	47000	56.62	0.0	0.0	0.0	7.95	56.62
MAG1_2	48000	58.92	0.0	0.0	0.0	6.78	58.92
MAG1_2	49000	59.5	0.0	0.0	0.0	6.23	59.5
MAG1_2	50000	56.36	0.0	0.0	0.0	4.46	56.36
MAG1_2	51000	59.51	0.0	0.0	0.0	4.71	59.51
MAG1_2	52000	55.33	0.0	0.0	0.0	4.97	55.33
MAG1_2	53000	55.04	0.0	0.0	0.0	6.96	55.04
MAG1_2	54000	56.88	0.0	0.0	0.0	5.51	56.88
MAG1_2	54138	43.3	0.0	0.0	0.0	3.53	43.3
MAG1_3	1000	51.85	0.0	0.0	0.0	5.74	51.85
MAG1_3	2000	55.98	0.0	0.0	0.0	5.0	55.98
MAG1_3	3000	52.01	0.0	0.0	0.0	4.79	52.01
MAG1_3	4000	55.66	0.0	0.0	0.0	5.2	55.66
MAG1_3	5000	54.82	0.0	0.0	0.0	4.52	54.82
MAG1_3	6000	54.51	0.0	0.0	0.0	4.86	54.51
MAG1_3	7000	56.14	0.0	0.0	0.0	6.35	56.14
MAG1_3	8000	56.05	0.0	0.0	0.0	3.72	56.05
MAG1_3	9000	59.14	0.0	0.0	0.0	8.41	59.14
MAG1_3	10000	55.56	0.0	0.0	0.0	5.35	55.56
MAG1_3	11000	53.15	0.0	0.0	0.0	5.61	53.15
MAG1_3	12000	55.25	0.0	0.0	0.0	5.07	55.25
MAG1_3	13000	58.06	0.0	0.0	0.0	4.93	58.06
MAG1_3	14000	61.78	0.0	0.0	0.0	6.46	61.78
MAG1_3	15000	62.94	0.0	0.0	0.0	7.52	62.94
MAG1_3	16000	57.51	0.0	0.0	0.0	7.47	57.51
MAG1_3	17000	53.04	0.0	0.0	0.0	4.46	53.04
MAG1_3	18000	58.75	0.0	0.0	0.0	5.19	58.75
MAG1_3	19000	57.62	0.0	0.0	0.0	6.32	57.62
MAG1_3	20000	49.69	0.0	0.0	0.0	4.45	49.69
MAG1_3	21000	60.75	0.0	0.0	0.0	6.42	60.75
MAG1_3	22000	60.32	0.0	0.0	0.0	8.1	60.32
MAG1_3	23000	60.28	0.0	0.0	0.0	5.68	60.28
MAG1_3	24000	55.4	0.0	0.0	0.0	5.66	55.4
MAG1_3	25000	55.62	0.0	0.0	0.0	6.45	55.62
MAG1_3	26000	55.96	0.0	0.0	0.0	4.81	55.96
MAG1_3	27000	55.87	0.0	0.0	0.0	5.88	55.87
MAG1_3	28000	56.53	0.0	0.0	0.0	3.54	56.53
MAG1_3	29000	53.15	0.0	0.0	0.0	4.6	53.15
MAG1_3	30000	58.24	0.0	0.0	0.0	4.15	58.24
MAG1_3	31000	57.39	0.0	0.0	0.0	6.39	57.39
MAG1_3	32000	62.0	0.0	0.0	0.0	6.15	62.0
MAG1_3	33000	51.42	0.0	0.0	0.0	4.55	51.42
MAG1_3	34000	52.65	0.0	0.0	0.0	4.67	52.65
MAG1_3	35000	55.99	0.0	0.0	0.0	5.05	55.99
MAG1_3	36000	61.12	0.0	0.0	0.0	3.56	61.12
MAG1_3	37000	62.51	0.0	0.0	0.0	6.7	62.51
MAG1_3	38000	53.34	0.0	0.0	0.0	6.47	53.34
MAG1_3	39000	55.82	0.0	0.0	0.0	5.53	55.82
MAG1_3	40000	55.23	0.0	0.0	0.0	5.32	55.23
MAG1_3	41000	54.28	0.0	0.0	0.0	5.05	54.28
MAG1_3	42000	53.15	0.0	0.0	0.0	5.91	53.15
MAG1_3	43000	58.41	0.0	0.0	0.0	4.49	58.41
MAG1_3	44000	51.72	0.0	0.0	0.0	4.89	51.72
MAG1_3	45000	59.56	0.0	0.0	0.0	3.87	59.56
MAG1_3	46000	58.83	0.0	0.0	0.0	5.01	58.83
MAG1_3	47000	55.31	0.0	0.0	0.0	5.02	55.31
MAG1_3	48000	53.97	0.0	0.0	0.0	4.0	53.97
MAG1_3	49000	59.04	0.0	0.0	0.0	5.4	59.04
MAG1_3	50000	55.11	0.0	0.0	0.0	6.29	55.11
MAG1_3	51000	52.62	0.0	0.0	0.0	5.38	52.62
MAG1_3	52000	59.02	0.0	0.0	0.0	4.81	59.02
MAG1_3	53000	57.51	0.0	0.0	0.0	5.71	57.51
MAG1_3	53855	53.07	0.0	0.0	0.0	5.01	53.07
MAG1_4	1000	52.65	0.0	0.0	0.0	4.06	52.65
MAG1_4	2000	56.49	0.0	0.0	0.0	5.41	56.49
MAG1_4	3000	60.85	0.0	0.0	0.0	5.39	60.85
MAG1_4	4000	59.92	0.0	0.0	0.0	6.66	59.92
MAG1_4	4947	50.73	0.0	0.0	0.0	3.35	50.73
MAG1_5	1000	50.7	0.0	0.0	0.0	4.64	50.7
MAG1_5	2000	53.13	0.0	0.0	0.0	6.77	53.13
MAG1_5	3000	55.75	0.0	0.0	0.0	5.57	55.75
MAG1_5	4000	54.29	0.0	0.0	0.0	5.3	54.29
MAG1_5	4412	51.49	0.0	0.0	0.0	4.71	51.49
MAG1_6	1000	46.19	0.0	0.0	0.0	3.73	46.19
MAG1_6	2000	60.42	0.0	0.0	0.0	6.46	60.42
MAG1_6	3000	56.95	0.0	0.0	0.0	6.42	56.95
MAG1_6	4000	57.1	0.0	0.0	0.0	7.3	57.1
MAG1_6	5000	56.6	0.0	0.0	0.0	3.35	56.6
MAG1_6	6000	57.76	0.0	0.0	0.0	7.72	57.76
MAG1_6	7000	53.06	0.0	0.0	0.0	4.55	53.06
MAG1_6	8000	59.21	0.0	0.0	0.0	5.26	59.21
MAG1_6	9000	55.56	0.0	0.0	0.0	6.9	55.56
MAG1_6	10000	62.46	0.0	0.0	0.0	6.23	62.46
MAG1_6	11000	56.5	0.0	0.0	0.0	3.66	56.5
MAG1_6	12000	62.77	0.0	0.0	0.0	7.01	62.77
MAG1_6	13000	54.88	0.0	0.0	0.0	4.18	54.88
MAG1_6	14000	58.38	0.0	0.0	0.0	5.62	58.38
MAG1_6	15000	57.2	0.0	0.0	0.0	5.47	57.2
MAG1_6	16000	55.06	0.0	0.0	0.0	5.9	55.06
MAG1_6	17000	54.92	0.0	0.0	0.0	6.64	54.92
MAG1_6	18000	58.8	0.0	0.0	0.0	4.64	58.8
MAG1_6	19000	54.38	0.0	0.0	0.0	4.87	54.38
MAG1_6	20000	54.51	0.0	0.0	0.0	4.46	54.51
MAG1_6	21000	56.17	0.0	0.0	0.0	4.73	56.17
MAG1_6	22000	58.3	0.0	0.0	0.0	5.79	58.3
MAG1_6	23000	55.85	0.0	0.0	0.0	5.74	55.85
MAG1_6	24000	56.99	0.0	0.0	0.0	4.16	56.99
MAG1_6	25000	53.78	0.0	0.0	0.0	5.77	53.78
MAG1_6	26000	58.2	0.0	0.0	0.0	6.66	58.2
MAG1_6	27000	51.63	0.0	0.0	0.0	5.91	51.63
MAG1_6	28000	56.68	0.0	0.0	0.0	4.76	56.68
MAG1_6	29000	54.8	0.0	0.0	0.0	4.23	54.8
MAG1_6	30000	52.86	0.0	0.0	0.0	4.07	52.86
MAG1_6	31000	56.15	0.0	0.0	0.0	4.85	56.15
MAG1_6	32000	57.83	0.0	0.0	0.0	5.22	57.83
MAG1_6	33000	58.11	0.0	0.0	0.0	5.73	58.11
MAG1_6	34000	54.07	0.0	0.0	0.0	5.33	54.07
MAG1_6	35000	59.5	0.0	0.0	0.0	5.95	59.5
MAG1_6	36000	58.01	0.0	0.0	0.0	6.65	58.01
MAG1_6	37000	58.82	0.0	0.0	0.0	4.99	58.82
MAG1_6	38000	54.75	0.0	0.0	0.0	3.61	54.75
MAG1_6	39000	56.33	0.0	0.0	0.0	4.3	56.33
MAG1_6	40000	57.0	0.0	0.0	0.0	5.81	57.0
MAG1_6	41000	54.1	0.0	0.0	0.0	5.67	54.1
MAG1_6	42000	56.67	0.0	0.0	0.0	5.72	56.67
MAG1_6	43000	54.12	0.0	0.0	0.0	5.54	54.12
MAG1_6	44000	60.01	0.0	0.0	0.0	5.0	60.01
MAG1_6	45000	58.18	0.0	0.0	0.0	7.26	58.18
MAG1_6	46000	58.68	0.0	0.0	0.0	4.94	58.68
MAG1_6	47000	61.89	0.0	0.0	0.0	5.52	61.89
MAG1_6	48000	51.86	0.0	0.0	0.0	5.55	51.86
MAG1_6	49000	56.33	0.0	0.0	0.0	6.75	56.33
MAG1_6	50000	59.04	0.0	0.0	0.0	6.4	59.04
MAG1_6	51000	56.91	0.0	0.0	0.0	5.42	56.91
MAG1_6	52000	58.94	0.0	0.0	0.0	6.78	58.94
MAG1_6	53000	57.29	0.0	0.0	0.0	6.29	57.29
MAG1_6	54000	62.77	0.0	0.0	0.0	7.49	62.77
MAG1_6	55000	55.93	0.0	0.0	0.0	5.95	55.93
MAG1_6	56000	51.87	0.0	0.0	0.0	4.96	51.87
MAG1_6	57000	57.81	0.0	0.0	0.0	5.68	57.81
MAG1_6	58000	48.79	0.0	0.0	0.0	3.52	48.79
MAG1_6	59000	57.7	0.0	0.0	0.0	5.61	57.7
MAG1_6	60000	63.56	0.0	0.0	0.0	5.01	63.56
MAG1_6	61000	50.33	0.0	0.0	0.0	6.06	50.33
MAG1_6	62000	60.78	0.0	0.0	0.0	5.31	60.78
MAG1_6	63000	58.01	0.0	0.0	0.0	5.13	58.01
MAG1_6	64000	54.19	0.0	0.0	0.0	6.43	54.19
MAG1_6	65000	53.6	0.0	0.0	0.0	4.71	53.6
MAG1_6	66000	55.28	0.0	0.0	0.0	4.9	55.28
MAG1_6	67000	59.05	0.0	0.0	0.0	7.78	59.05
MAG1_6	68000	57.17	0.0	0.0	0.0	6.54	57.17
MAG1_6	69000	57.57	0.0	0.0	0.0	5.0	57.57
MAG1_6	70000	59.42	0.0	0.0	0.0	6.17	59.42
MAG1_6	71000	56.05	0.0	0.0	0.0	6.74	56.05
MAG1_6	72000	55.2	0.0	0.0	0.0	6.09	55.2
MAG1_6	73000	56.44	0.0	0.0	0.0	4.37	56.44
MAG1_6	74000	56.23	0.0	0.0	0.0	5.24	56.23
MAG1_6	75000	55.38	0.0	0.0	0.0	6.53	55.38
MAG1_6	76000	56.96	0.0	0.0	0.0	6.08	56.96
MAG1_6	77000	60.54	0.0	0.0	0.0	4.24	60.54
MAG1_6	78000	62.76	0.0	0.0	0.0	6.01	62.76
MAG1_6	79000	61.25	0.0	0.0	0.0	7.83	61.25
MAG1_6	80000	55.53	0.0	0.0	0.0	4.99	55.53
MAG1_6	81000	57.61	0.0	0.0	0.0	4.53	57.61
MAG1_6	82000	55.09	0.0	0.0	0.0	6.05	55.09
MAG1_6	83000	56.62	0.0	0.0	0.0	6.48	56.62
MAG1_6	84000	57.1	0.0	0.0	0.0	4.37	57.1
MAG1_6	85000	52.32	0.0	0.0	0.0	3.44	52.32
MAG1_6	86000	64.39	0.0	0.0	0.0	7.95	64.39
MAG1_6	87000	55.46	0.0	0.0	0.0	6.98	55.46
MAG1_6	88000	57.57	0.0	0.0	0.0	6.8	57.57
MAG1_6	89000	57.19	0.0	0.0	0.0	5.76	57.19
MAG1_6	90000	56.29	0.0	0.0	0.0	5.13	56.29
MAG1_6	91000	57.89	0.0	0.0	0.0	6.18	57.89
MAG1_6	92000	61.11	0.0	0.0	0.0	6.13	61.11
MAG1_6	93000	53.96	0.0	0.0	0.0	5.18	53.96
MAG1_6	94000	58.53	0.0	0.0	0.0	5.65	58.53
MAG1_6	95000	52.34	0.0	0.0	0.0	5.64	52.34
MAG1_6	96000	55.19	0.0	0.0	0.0	7.58	55.19
MAG1_6	97000	55.79	0.0	0.0	0.0	6.44	55.79
MAG1_6	98000	59.94	0.0	0.0	0.0	5.79	59.94
MAG1_6	99000	54.15	0.0	0.0	0.0	3.9	54.15
MAG1_6	100000	55.51	0.0	0.0	0.0	4.29	55.51
MAG1_6	101000	61.4	0.0	0.0	0.0	7.95	61.4
MAG1_6	102000	53.47	0.0	0.0	0.0	5.99	53.47
MAG1_6	103000	58.49	0.0	0.0	0.0	5.81	58.49
MAG1_6	104000	62.76	0.0	0.0	0.0	6.47	62.76
MAG1_6	105000	54.99	0.0	0.0	0.0	5.75	54.99
MAG1_6	106000	58.98	0.0	0.0	0.0	6.24	58.98
MAG1_6	107000	46.82	0.0	0.0	0.0	5.24	46.82
MAG1_6	108000	59.06	0.0	0.0	0.0	4.89	59.06
MAG1_6	109000	56.92	0.0	0.0	0.0	6.78	56.92
MAG1_6	110000	57.55	0.0	0.0	0.0	6.02	57.55
MAG1_6	111000	55.49	0.0	0.0	0.0	6.21	55.49
MAG1_6	112000	55.36	0.0	0.0	0.0	4.0	55.36
