#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	107	1054	+	CCGIAH_00005	35.8	8.8		
contig_1	1208	4186	-	CCGIAH_00010	108.5	8.8	PF07715.18|Plug, PF13620.9|CarboxypepD_reg, PF13715.9|CarbopepD_reg_2	PFAM:PF07715.18, PFAM:PF13620.9, PFAM:PF13715.9
contig_1	5341	6021	-	CCGIAH_00020	26.1	9.7		
contig_1	6087	6512	-	CCGIAH_00025	16.3	5.8		
contig_1	10966	11367	-	CCGIAH_00045	14.7	9.4		
contig_1	13868	14998	-	CCGIAH_00055	42.8	7.6	PF13449.9|Phytase-like	PFAM:PF13449.9
contig_1	15027	15923	-	CCGIAH_00060	32.6	5.2		
contig_1	16025	16942	+	CCGIAH_00065	35.3	8.8		
contig_1	20605	20952	+	CCGIAH_00085	12.7	6.9		
contig_1	26225	27040	-	CCGIAH_00115	31.2	5.1		
contig_1	32286	33584	+	CCGIAH_00150	48.9	9.1		
contig_1	35057	36814	+	CCGIAH_00165	65.5	6.0	PF05569.14|Peptidase_M56	PFAM:PF05569.14
contig_1	36970	37992	-	CCGIAH_00170	37.4	8.9		
contig_1	38011	42366	-	CCGIAH_00175	155.9	4.9	PF00801.23|PKD, PF00801.23|PKD, PF00801.23|PKD, PF00801.23|PKD, PF00801.23|PKD, PF13585.9|CHU_C, PF18911.3|PKD_4, PF18911.3|PKD_4, PF18911.3|PKD_4, PF18911.3|PKD_4, PF18911.3|PKD_4, PF18911.3|PKD_4	PFAM:PF00801.23, PFAM:PF00801.23, PFAM:PF00801.23, PFAM:PF00801.23, PFAM:PF00801.23, PFAM:PF13585.9, PFAM:PF18911.3, PFAM:PF18911.3, PFAM:PF18911.3, PFAM:PF18911.3, PFAM:PF18911.3, PFAM:PF18911.3
contig_1	43080	43529	+	CCGIAH_00180	16.7	9.9		
contig_1	52774	53019	-	CCGIAH_00230	8.7	9.3		
contig_1	58418	61858	+	CCGIAH_00260	121.3	5.8	PF18962.3|Por_Secre_tail	PFAM:PF18962.3
contig_1	62616	63002	+	CCGIAH_00270	14.3	7.9		
contig_1	67873	68496	+	CCGIAH_00295	23.8	8.2		
contig_1	74807	75226	-	CCGIAH_00320	14.9	8.8		
