#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
MAG15.fasta,MAG15_151,8479,9926,-,alg8,38-1485/1485,========/======,2/6,97.31,82.84,vfdb,NP_252231,(alg8) alginate-c5-mannuronan-epimerase AlgG [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_160,690,1625,+,fliM,1-936/972,========/======,2/2,96.19,86.55,vfdb,NP_250134,(fliM) flagellar motor switch protein FliM [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_160,2638,3348,+,fliP,49-759/768,========/======,2/4,92.32,81.63,vfdb,NP_250137,(fliP) flagellar biosynthetic protein FliP [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_160,3362,3631,+,fliQ,1-270/270,===============,0/0,100.00,80.37,vfdb,NP_250138,(fliQ) flagellar biosynthetic protein FliQ [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_20,48379,49355,-,waaF,1-977/1038,========/======,2/2,94.03,80.78,vfdb,NP_253699,(waaF) heptosyltransferase I [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_200,282,2398,+,flhA,1-2114/2124,========/======,5/11,99.34,80.58,vfdb,NP_250143,(flhA) flagellar biosynthesis protein FlhA [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_200,3847,4655,+,fleN,10-818/843,========/======,2/2,95.85,83.58,vfdb,NP_250145,(fleN) flagellar synthesis regulator FleN [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_23,5562,5764,-,mbtH-like,1-203/219,==============.,0/0,92.69,83.74,vfdb,NP_251102,(mbtH-like) MbtH-like protein from the pyoverdine cluster [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_23,30562,31073,+,pvdS,1-512/564,==============.,0/0,90.78,82.42,vfdb,NP_251116,(pvdS) extracytoplasmic-function sigma-70 factor  [Pyoverdine (VF0094)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_25,24667,25119,-,flgC,1-441/441,========/======,3/12,100.00,81.24,vfdb,NP_249769,(flgC) flagellar basal-body rod protein FlgC [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_28,41372,41739,+,pilG,1-368/408,==============.,0/0,90.20,85.05,vfdb,NP_249099,(pilG) twitching motility protein PilG [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_28,41826,42181,+,pilH,1-356/366,===============,0/0,97.27,82.58,vfdb,NP_249100,(pilH) twitching motility protein PilH [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_6,57754,58324,-,algU,1-571/582,===============,0/0,98.11,80.91,vfdb,NP_249453,(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_63,4584,5830,-,fliI,1-1247/1356,==============.,0/0,91.96,83.64,vfdb,NP_249795,(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
