#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	94	792	+	CFLALH_00005		Phenylalanine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A0B0HFZ1
contig_1	cds	806	3220	+	CFLALH_00010	pheT	phenylalanine--tRNA ligase subunit beta	RefSeq:WP_047931075.1, SO:0001217, UniParc:UPI00064C792E, UniRef:UniRef100_UPI00064C792E, UniRef:UniRef50_P17922, UniRef:UniRef90_D5DLS5
contig_1	cds	3254	4168	-	CFLALH_00015	rnhC	ribonuclease HIII	EC:3.1.26.4, KEGG:K03471, RefSeq:WP_034648698.1, SO:0001217, UniParc:UPI0005048E40, UniRef:UniRef100_A0A6M6DM40, UniRef:UniRef50_Q817J0, UniRef:UniRef90_D5DLS4
contig_1	cds	4312	4572	+	CFLALH_00020	zapA	cell division protein ZapA	RefSeq:WP_013059415.1, SO:0001217, UniParc:UPI0001D05769, UniRef:UniRef100_A0A109GCU5, UniRef:UniRef50_C5D5R1, UniRef:UniRef90_A0A109GCU5
contig_1	cds	4581	5126	+	CFLALH_00025		Colicin V production protein	RefSeq:WP_013059414.1, SO:0001217, UniParc:UPI0001D05768, UniRef:UniRef100_A0A2A9Y618, UniRef:UniRef50_A0A5J4JDQ5, UniRef:UniRef90_D5DLS2
contig_1	cds	5348	7036	+	CFLALH_00030	polX	DNA polymerase/3'-5' exonuclease PolX	SO:0001217, UniParc:UPI0005071714, UniRef:UniRef100_A0A0B6AF94, UniRef:UniRef50_P94544, UniRef:UniRef90_A0A6M6DVF8
contig_1	cds	7056	9419	+	CFLALH_00035		endonuclease MutS2	RefSeq:WP_034648703.1, SO:0001217, UniParc:UPI0004FFA239, UniRef:UniRef100_A0A6M6DPG8, UniRef:UniRef50_P94545, UniRef:UniRef90_D5DLS0
contig_1	cds	9601	10008	+	CFLALH_00040		DUF350 domain-containing protein	KEGG:K08989, RefSeq:WP_013059411.1, SO:0001217, UniParc:UPI0001D05765, UniRef:UniRef100_A0A109GCW3, UniRef:UniRef50_P94546, UniRef:UniRef90_A0A109GCW3
contig_1	cds	10160	11266	-	CFLALH_00045		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	RefSeq:WP_047931076.1, SO:0001217, UniParc:UPI00064C8424, UniRef:UniRef100_A0A6M6DT47, UniRef:UniRef50_A0A2N5M6H2, UniRef:UniRef90_A0A0L1M9H5
contig_1	cds	11478	13175	+	CFLALH_00050		long-chain fatty acid--CoA ligase	RefSeq:WP_047931077.1, SO:0001217, UniParc:UPI00064CCE20, UniRef:UniRef100_UPI00064CCE20, UniRef:UniRef50_P94547, UniRef:UniRef90_A0A0L1M9N0
contig_1	cds	13288	13872	+	CFLALH_00055		TetR family transcriptional regulator	RefSeq:WP_047931078.1, SO:0001217, UniParc:UPI00064C8EEC, UniRef:UniRef100_UPI00064C8EEC, UniRef:UniRef50_P94548, UniRef:UniRef90_A0A0B6AQL7
contig_1	cds	13952	14725	+	CFLALH_00060		enoyl-CoA hydratase	RefSeq:WP_013059407.1, SO:0001217, UniParc:UPI0001D05761, UniRef:UniRef100_A0A1I2QEQ6, UniRef:UniRef50_P94549, UniRef:UniRef90_D5DLR5
contig_1	cds	14744	15517	+	CFLALH_00065		electron transfer flavoprotein subunit beta	RefSeq:WP_016765685.1, SO:0001217, UniParc:UPI000344FF5F, UniRef:UniRef100_A0A1Q8V1H9, UniRef:UniRef50_P94550, UniRef:UniRef90_D5DLR4
contig_1	cds	15551	16531	+	CFLALH_00070		electron transfer flavoprotein subunit alpha	RefSeq:WP_034648713.1, SO:0001217, UniParc:UPI00050562B6, UniRef:UniRef100_A0A0B6AJ22, UniRef:UniRef50_A0A150LLH3, UniRef:UniRef90_A0A0B6AJ22
contig_1	cds	16940	17254	+	CFLALH_00075	trxA	thioredoxin	RefSeq:WP_013059404.1, SO:0001217, UniParc:UPI0001D0575E, UniRef:UniRef100_A0A109GCX6, UniRef:UniRef50_P14949, UniRef:UniRef90_A0A109GCX6
contig_1	cds	17479	19245	+	CFLALH_00080	uvrC	excinuclease ABC subunit UvrC	RefSeq:WP_013085164.1, SO:0001217, UniParc:UPI0001D0F67C, UniRef:UniRef100_A0A6M6DVG8, UniRef:UniRef50_P14951, UniRef:UniRef90_A0A0L1M9H0
contig_1	ncRNA-region	19311	19488	+			Lysine riboswitch	RFAM:RF00168, SO:0000035
contig_1	cds	19630	20862	+	CFLALH_00085		aspartate kinase	RefSeq:WP_034648714.1, SO:0001217, UniParc:UPI000501AE29, UniRef:UniRef100_A0A6M6DPH8, UniRef:UniRef50_P53553, UniRef:UniRef90_D5DLR0
contig_1	cds	20912	21439	-	CFLALH_00090		YslB family protein	RefSeq:WP_047931079.1, SO:0001217, UniParc:UPI00064C7E37, UniRef:UniRef100_UPI00064C7E37, UniRef:UniRef50_A0A1S2C1D0, UniRef:UniRef90_A0A1S2C1D0
contig_1	cds	21929	22537	+	CFLALH_00095	sdhC	succinate dehydrogenase	RefSeq:WP_013059400.1, SO:0001217, UniParc:UPI0001D0575A, UniRef:UniRef100_A0A109GCV8, UniRef:UniRef50_P08064, UniRef:UniRef90_A0A109GCV8
contig_1	cds	22567	24354	+	CFLALH_00100	sdhA	succinate dehydrogenase flavoprotein subunit	RefSeq:WP_013059399.1, SO:0001217, UniParc:UPI0001D05759, UniRef:UniRef100_A0A109GCT8, UniRef:UniRef50_A0A0Q3T4T0, UniRef:UniRef90_A0A0M0L741
contig_1	cds	24358	25131	+	CFLALH_00105	sdhB	succinate dehydrogenase iron-sulfur subunit	RefSeq:WP_013059398.1, SO:0001217, UniParc:UPI0001D05758, UniRef:UniRef100_A0A109GCX5, UniRef:UniRef50_P08066, UniRef:UniRef90_A0A109GCX5
contig_1	cds	25195	25644	+	CFLALH_00110		Acyl-ACP thioesterase	RefSeq:WP_014458078.1, SO:0001217, UniParc:UPI000229A037, UniRef:UniRef100_A0A5B8PXB0, UniRef:UniRef50_A0A0A2SKD9, UniRef:UniRef90_A0A0L1MA41
contig_1	cds	25819	26043	+	CFLALH_00115	gerE	spore germination transcription factor GerE	COG:COG2197, COG:TK, GO:0003677, GO:0006355, RefSeq:WP_013059396.1, SO:0001217, UniParc:UPI0001D056E6, UniRef:UniRef100_A0A0L1M9D4, UniRef:UniRef50_P11470, UniRef:UniRef90_P11470
contig_1	cds	26248	26574	+	CFLALH_00120		hypothetical protein	RefSeq:WP_014458080.1, SO:0001217, UniParc:UPI000229A039, UniRef:UniRef100_A0A0L1M9W4, UniRef:UniRef50_A0A0L1M9W4, UniRef:UniRef90_A0A0L1M9W4
contig_1	cds	26722	27222	+	CFLALH_00125		potassium:proton antiporter	RefSeq:WP_013085158.1, SO:0001217, UniParc:UPI0001D0F5B5, UniRef:UniRef100_A0A109GD61, UniRef:UniRef50_O07535, UniRef:UniRef90_A0A109GD61
contig_1	cds	27223	28437	+	CFLALH_00130		cation/H(+) antiporter	RefSeq:WP_047931080.1, SO:0001217, UniParc:UPI00064CD502, UniRef:UniRef100_UPI00064CD502, UniRef:UniRef50_O07536, UniRef:UniRef90_A0A806TML1
contig_1	cds	28571	29365	+	CFLALH_00135		sulfonate ABC transporter ATP-binding protein	RefSeq:WP_047931081.1, SO:0001217, UniParc:UPI00064C6BE0, UniRef:UniRef100_UPI00064C6BE0, UniRef:UniRef50_P97027, UniRef:UniRef90_D5DTP3
contig_1	cds	29399	30385	+	CFLALH_00140		aliphatic sulfonates ABC transporter substrate-binding protein	RefSeq:WP_047931082.1, SO:0001217, UniParc:UPI00064CD67E, UniRef:UniRef100_UPI00064CD67E, UniRef:UniRef50_A0A172TED2, UniRef:UniRef90_D5DLP9
contig_1	cds	30396	31250	+	CFLALH_00145		ABC transporter permease	RefSeq:WP_014458084.1, SO:0001217, UniParc:UPI000229A03D, UniRef:UniRef100_A0A5B8PXM9, UniRef:UniRef50_P40401, UniRef:UniRef90_D5DLP8
contig_1	cds	31320	31874	+	CFLALH_00150	ssuE	NADPH-dependent FMN reductase	RefSeq:WP_047931083.1, SO:0001217, UniParc:UPI00064CC5B9, UniRef:UniRef100_UPI00064CC5B9, UniRef:UniRef50_A0A5B8PVQ1, UniRef:UniRef90_A0A5B8PVQ1
contig_1	cds	31871	32995	+	CFLALH_00155	ssuD	FMNH2-dependent alkanesulfonate monooxygenase	RefSeq:WP_047931084.1, SO:0001217, UniParc:UPI00064C89C2, UniRef:UniRef100_UPI00064C89C2, UniRef:UniRef50_Q9I1C2, UniRef:UniRef90_A0A7W3RFT1
contig_1	cds	33062	33268	-	CFLALH_00160		hypothetical protein	RefSeq:WP_013059387.1, SO:0001217, UniParc:UPI0001D056DD, UniRef:UniRef100_A0A109GCX1, UniRef:UniRef50_A0A109GCX1, UniRef:UniRef90_A0A109GCX1
contig_1	cds	33509	35527	+	CFLALH_00165		penicillin-binding protein	KEGG:K21467, RefSeq:WP_047932177.1, SO:0001217, UniParc:UPI00064C5C3C, UniRef:UniRef100_UPI00064C5C3C, UniRef:UniRef50_D5DLP4, UniRef:UniRef90_D5DLP4
contig_1	cds	35985	36602	+	CFLALH_00170		DUF47 domain-containing protein	KEGG:K07220, RefSeq:WP_013059385.1, SO:0001217, UniParc:UPI0001D056DB, UniRef:UniRef100_A0A2A9XLW8, UniRef:UniRef50_O34454, UniRef:UniRef90_A0A2A9XLW8
contig_1	cds	36618	37616	+	CFLALH_00175		anion permease	KEGG:K03306, RefSeq:WP_013085148.1, SO:0001217, UniParc:UPI0001D0F5AB, UniRef:UniRef100_A0A1I2Q732, UniRef:UniRef50_W8U5Y5, UniRef:UniRef90_A0A1N6SEF3
contig_1	cds	37730	38344	+	CFLALH_00180		YvbH-like oligomerisation region	RefSeq:WP_013085147.1, SO:0001217, UniParc:UPI0001D0F5AA, UniRef:UniRef100_A0A6M6DQ02, UniRef:UniRef50_O32245, UniRef:UniRef90_A0A109GCV1
contig_1	cds	38556	38999	+	CFLALH_00185		MarR family transcriptional regulator	RefSeq:WP_013059382.1, SO:0001217, UniParc:UPI0001D056D8, UniRef:UniRef100_A0A109GCT0, UniRef:UniRef50_A0A3N6DGS0, UniRef:UniRef90_A0A1I2Q760
contig_1	cds	39010	39804	+	CFLALH_00190	racE	glutamate racemase	RefSeq:WP_013085145.1, SO:0001217, UniParc:UPI0001D0F5A8, UniRef:UniRef100_A0A7H9XX87, UniRef:UniRef50_Q9L4V5, UniRef:UniRef90_A0A7H9XX87
contig_1	cds	39918	41003	+	CFLALH_00195		sporulation protein	RefSeq:WP_013059380.1, SO:0001217, UniParc:UPI0001D056D6, UniRef:UniRef100_A0A6M6DSY2, UniRef:UniRef50_P39072, UniRef:UniRef90_D5DLN8
contig_1	cds	41138	41884	+	CFLALH_00200	rph	ribonuclease PH	RefSeq:WP_013085143.1, SO:0001217, UniParc:UPI0001D0F5A6, UniRef:UniRef100_A0A1I2Q8U2, UniRef:UniRef50_P28619, UniRef:UniRef90_A0A2B0EMR1
contig_1	cds	41894	42487	+	CFLALH_00205	rdgB	XTP/dITP diphosphatase	EC:3.6.1.66, KEGG:K01519, RefSeq:WP_013085142.1, SO:0001217, UniParc:UPI0001D0F5A5, UniRef:UniRef100_D5DLN6, UniRef:UniRef50_W7AU26, UniRef:UniRef90_D5DLN6
contig_1	cds	42503	43015	+	CFLALH_00210		YfcE family phosphodiesterase	KEGG:K07095, RefSeq:WP_013059377.1, SO:0001217, UniParc:UPI0001D056D3, UniRef:UniRef100_A0A109GCU0, UniRef:UniRef50_A0A165YL89, UniRef:UniRef90_A0A109GCU0
contig_1	tRNA	43141	43214	+	CFLALH_00215	Arg_trna	tRNA-Arg	SO:0001036
contig_1	ncRNA-region	43538	43791	+			T-box leader	RFAM:RF00230, SO:0000140
contig_1	cds	43881	45587	+	CFLALH_00220	ilvB	acetolactate synthase large subunit	EC:2.2.1.6, KEGG:K01652, SO:0001217, UniRef:UniRef50_A0A510Y5M3, UniRef:UniRef90_A0A1Q8V1J5
contig_1	cds	45584	46096	+	CFLALH_00225	ilvN	acetolactate synthase small subunit	EC:2.2.1.6, KEGG:K01653, RefSeq:WP_047932176.1, SO:0001217, UniParc:UPI00064CD141, UniRef:UniRef100_UPI00064CD141, UniRef:UniRef50_P37252, UniRef:UniRef90_A0A120EHW0
contig_1	cds	46161	47186	+	CFLALH_00230	ilvC	ketol-acid reductoisomerase	EC:1.1.1.86, KEGG:K00053, RefSeq:WP_013085141.1, SO:0001217, UniParc:UPI0001D0F5A4, UniRef:UniRef100_A0A120EHW7, UniRef:UniRef50_C8WR67, UniRef:UniRef90_A0A120EHW7
contig_1	cds	47173	48708	+	CFLALH_00235	leuA	2-isopropylmalate synthase	EC:2.3.3.13, KEGG:K01649, RefSeq:WP_016765669.1, SO:0001217, UniParc:UPI00034864C8, UniRef:UniRef100_A0A6M6DQ08, UniRef:UniRef50_Q8Y5R9, UniRef:UniRef90_A0A120EHW5
contig_1	cds	48728	49837	+	CFLALH_00240	leuB	3-isopropylmalate dehydrogenase	EC:1.1.1.85, GO:0000287, GO:0003862, GO:0005737, GO:0009098, GO:0051287, KEGG:K00052, RefSeq:WP_013059372.1, SO:0001217, UniParc:UPI0001D056CE, UniRef:UniRef100_A0A109GCV9, UniRef:UniRef50_P41019, UniRef:UniRef90_P41019
contig_1	cds	49896	51311	+	CFLALH_00245	leuC	3-isopropylmalate dehydratase large subunit	RefSeq:WP_013059371.1, SO:0001217, UniParc:UPI0001D056CD, UniRef:UniRef100_A0A269W3J4, UniRef:UniRef50_P80858, UniRef:UniRef90_A0A0L1M9E8
contig_1	cds	51326	51916	+	CFLALH_00250	leuD	3-isopropylmalate dehydratase small subunit	RefSeq:WP_047932175.1, SO:0001217, UniParc:UPI00064CCF46, UniRef:UniRef100_UPI00064CCF46, UniRef:UniRef50_Q02144, UniRef:UniRef90_A0A1Q8V1A9
contig_1	cds	52018	53019	+	CFLALH_00255		Protein kinase domain-containing protein	RefSeq:WP_047932174.1, SO:0001217, UniParc:UPI00064CC0BE, UniRef:UniRef100_A0A6M6DT99, UniRef:UniRef50_A0A1Q8V1I3, UniRef:UniRef90_A0A1Q8V1I3
contig_1	cds	53241	54527	+	CFLALH_00260	tig	trigger factor	RefSeq:WP_016765666.1, SO:0001217, UniParc:UPI00034B8254, UniRef:UniRef100_A0A109GCU2, UniRef:UniRef50_P80698, UniRef:UniRef90_D5DLM6
contig_1	cds	54912	56177	+	CFLALH_00265	clpX	ATP-dependent protease ATP-binding subunit ClpX	COG:COG1219, COG:O, RefSeq:WP_013059367.1, SO:0001217, UniParc:UPI0001D056C9, UniRef:UniRef100_A0A109GCS1, UniRef:UniRef50_Q7NDN9, UniRef:UniRef90_A0A109GCS1
contig_1	cds	56331	57998	+	CFLALH_00270	lonB	ATP-dependent protease LonB	RefSeq:WP_013085136.1, SO:0001217, UniParc:UPI0001D0F59F, UniRef:UniRef100_A0A109GCV3, UniRef:UniRef50_A0A1C3SGJ8, UniRef:UniRef90_D5DT81
contig_1	cds	58258	60582	+	CFLALH_00275	lon	endopeptidase La	RefSeq:WP_016765665.1, SO:0001217, UniParc:UPI00034CB83A, UniRef:UniRef100_A0A1Q8V1E7, UniRef:UniRef50_P37945, UniRef:UniRef90_A0A0L1MA15
contig_1	cds	60579	61166	+	CFLALH_00280	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	RefSeq:WP_013059364.1, SO:0001217, UniParc:UPI0001D056C6, UniRef:UniRef100_A0A109GCT5, UniRef:UniRef50_Q180E5, UniRef:UniRef90_A0A109GCT5
contig_1	cds	61260	61745	-	CFLALH_00285		DUF5668 domain-containing protein	RefSeq:WP_047932173.1, SO:0001217, UniParc:UPI00064C583F, UniRef:UniRef100_UPI00064C583F, UniRef:UniRef50_A0A109GD40, UniRef:UniRef90_A0A109GD40
contig_1	cds	62075	63415	+	CFLALH_00290	hemA	glutamyl-tRNA reductase	EC:1.2.1.70, GO:0006782, GO:0008883, GO:0050661, KEGG:K02492, RefSeq:WP_034648743.1, SO:0001217, UniParc:UPI000500927A, UniRef:UniRef100_A0A6M6DVL0, UniRef:UniRef50_P16618, UniRef:UniRef90_Q8GCB0
