#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	18071	21979	+	MEIOIK_00075	140.5	8.0		RefSeq:WP_053255986.1, SO:0001217, UniParc:UPI0006A5E3AE, UniRef:UniRef100_A0A3M3XSX8, UniRef:UniRef50_A0A172Z2F6, UniRef:UniRef90_A0A1E4XH37
contig_1	25178	25672	-	MEIOIK_00095	18.3	5.7		RefSeq:WP_053255982.1, SO:0001217, UniParc:UPI0006A6091A, UniRef:UniRef100_A0A3M3XUE3, UniRef:UniRef50_A0A0D6BIL0, UniRef:UniRef90_A0A3M3XUE3
contig_1	34003	35247	-	MEIOIK_00140	45.3	8.8		RefSeq:WP_053255973.1, SO:0001217, UniParc:UPI0006A58CA1, UniRef:UniRef100_A0A3M3XSZ9, UniRef:UniRef50_A0A1E4XGV3, UniRef:UniRef90_A0A1E4XGV3
contig_1	51274	51504	-	MEIOIK_00225	8.7	5.4		RefSeq:WP_053255958.1, SO:0001217, UniParc:UPI0006A590F7, UniRef:UniRef100_A0A3M3XTA7, UniRef:UniRef50_A0A1P8F1V5, UniRef:UniRef90_A0A172Z1W1
contig_1	52608	52775	+	MEIOIK_00240	6.3	6.7		RefSeq:WP_096236871.1, SO:0001217, UniParc:UPI000A664465, UniRef:UniRef100_A0A3M3XUV7, UniRef:UniRef50_A0A3M4VD82, UniRef:UniRef90_C3KB67
contig_1	64778	65035	+	MEIOIK_00310	9.5	9.2		RefSeq:WP_053255943.1, SO:0001217, UniParc:UPI0006A62E35, UniRef:UniRef100_A0A3M3XUY7, UniRef:UniRef50_A0A3M3RJX6, UniRef:UniRef90_A0A3M3XUY7
contig_1	66218	66433	-	MEIOIK_00325	8.2	6.7		RefSeq:WP_053255940.1, SO:0001217, UniParc:UPI0006A638FB, UniRef:UniRef100_A0A1T2ZC95, UniRef:UniRef50_A0A172Z1Y0, UniRef:UniRef90_A0A109KEI0
contig_1	71299	71592	+	MEIOIK_00360	10.6	10.7		RefSeq:WP_081006358.1, SO:0001217, UniParc:UPI0009C04862, UniRef:UniRef100_A0A3M3XSW4, UniRef:UniRef50_A0A7X2RY24, UniRef:UniRef90_A0A172Z234
contig_1	74974	75795	+	MEIOIK_00375	29.7	7.9		RefSeq:WP_053255932.1, SO:0001217, UniParc:UPI0006A6421D, UniRef:UniRef100_A0A3M3XT14, UniRef:UniRef50_A0A1B5D1B8, UniRef:UniRef90_A0A172Z1Z0
contig_1	77777	78058	+	MEIOIK_00395	10.5	11.3		RefSeq:WP_053255928.1, SO:0001217, UniParc:UPI0006A5A06B, UniRef:UniRef100_A0A1T2ZCV9, UniRef:UniRef50_A0A0J6HLU7, UniRef:UniRef90_C3KB42
contig_1	80375	80683	-	MEIOIK_00420	10.9	4.2		RefSeq:WP_053255924.1, SO:0001217, UniParc:UPI0006A60A47, UniRef:UniRef100_A0A1T2ZCD9, UniRef:UniRef50_A0A1T2ZCD9, UniRef:UniRef90_A0A1T2ZCD9
contig_1	102030	102920	+	MEIOIK_00490	32.2	6.7		RefSeq:WP_053255909.1, SO:0001217, UniParc:UPI0006A60592, UniRef:UniRef100_A0A1E4XH60, UniRef:UniRef50_Q46PW8, UniRef:UniRef90_A0A172Z2P2
contig_1	109424	109888	-	MEIOIK_00520	16.3	5.6		RefSeq:WP_053255903.1, SO:0001217, UniParc:UPI0006A5B09F, UniRef:UniRef100_A0A1T2ZCE5, UniRef:UniRef50_A0A127I378, UniRef:UniRef90_A0A127I378
contig_1	110680	110934	+	MEIOIK_00530	9.2	4.8		RefSeq:WP_053255901.1, SO:0001217, UniParc:UPI0006A65051, UniRef:UniRef100_A0A3M3XSN6, UniRef:UniRef50_A0A1H2E639, UniRef:UniRef90_A0A172Z2D9
contig_1	125194	125679	+	MEIOIK_00595	18.0	10.0		
contig_1	125726	125875	-	MEIOIK_00600	5.5	4.4		SO:0001217, UniParc:UPI000A5AD625, UniRef:UniRef100_A0A3M3XTD8, UniRef:UniRef50_A0A3M3XTD8, UniRef:UniRef90_A0A3M3XTD8
contig_1	128478	129320	-	MEIOIK_00615	32.3	9.0		SO:0001217, UniParc:UPI000B27BBFF, UniRef:UniRef100_A0A8B4I8C2, UniRef:UniRef50_L1LYX4, UniRef:UniRef90_A0A8B4I8C2
contig_1	133282	133476	-	MEIOIK_00635	7.2	10.5		RefSeq:WP_053255884.1, SO:0001217, UniParc:UPI0006A62991, UniRef:UniRef100_A0A1T2ZCH9, UniRef:UniRef50_A5W464, UniRef:UniRef90_A0A0W0HCY1
contig_1	142166	142699	-	MEIOIK_00685	19.5	10.4		
contig_2	39315	39551	-	MEIOIK_00865	8.6	4.5		RefSeq:WP_053256054.1, SO:0001217, UniParc:UPI0006A5EE80, UniRef:UniRef100_A0A1E4XFC4, UniRef:UniRef50_A0A2N8DT40, UniRef:UniRef90_A0A1E4XFC4
contig_2	44561	45244	+	MEIOIK_00885	25.2	6.3		RefSeq:WP_053256050.1, SO:0001217, UniParc:UPI0006A64A22, UniRef:UniRef100_A0A8B4I6U9, UniRef:UniRef50_A0A7Z2TIR3, UniRef:UniRef90_A0A8B4I6U9
contig_2	45261	46247	+	MEIOIK_00890	37.0	8.1		RefSeq:WP_141125133.1, SO:0001217, UniParc:UPI000B2325CA, UniRef:UniRef100_A0A8B4I9H2, UniRef:UniRef50_A0A2K9C8B3, UniRef:UniRef90_A0A8B4I9H2
contig_2	46266	46676	+	MEIOIK_00895	15.2	8.7		SO:0001217, UniRef:UniRef50_A0A2K9CDR9, UniRef:UniRef90_A0A7Z2TIQ0
contig_2	49666	51042	+	MEIOIK_00910	50.8	6.7		RefSeq:WP_053256045.1, SO:0001217, UniParc:UPI0006A5CD70, UniRef:UniRef100_A0A3M3XT81, UniRef:UniRef50_A0A4R9W456, UniRef:UniRef90_A0A3M3XT81
